name,TempK,Sigma,SMILES
dipentyl ether,313,22.96,CCCCCOCCCCC
formic acid,303,36.58,C(=O)O
decanenitrile,293,29.36,CCCCCCCCCC#N
1-bromononane,363,23.31,CCCCCCCCCBr
N-Nitrosodipropylamine,303,30.67,CCCN(CCC)N=O
cyclopentyl methyl ether,313,24.16,COC1CCCC1
1-naphtonitrile,333,42.23,N#Cc1cccc2ccccc12Ê
benzenesulfonyl chloride,383,33.19,C1=CC=C(C=C1)S(=O)(=O)Cl
sec-butylcyclohexane,283,28.41,CCC(C)C1CCCCC1
o-ethyltoluene,343,24.91,CCC1=CC=CC=C1C
butyl isobutyrate,293,24.49,CCCCOC(=O)C(C)C
methyl propionate,303,23.81,CCC(=O)OC
diethylene glycol,393,36.41,C(COCCO)O
Methyl phosphorodichloridate,293,34.9,COP(=O)(Cl)Cl
butyl cyclobutane,333,25.44,CCCCC1CCC1
diisopentyl ether,288,23.45,CC(C)CCOCCC(C)C
dipropyl oxalate,353,24.23,CCCOC(=O)C(=O)OCCC
pentadecane,343,22.78,CCCCCCCCCCCCCCC
dimethyl phosphonate,333,32.84,CO[P+](=O)OC
isovaleric acid,353,20.19,CC(C)CC(=O)O
"2,3-dimethyl-pyridine",333,28.97,CC1=C(N=CC=C1)C
decane,303,22.91,CCCCCCCCCC
tetradecane,343,22.22,CCCCCCCCCCCCCC
2-hexyl-pyridine,333,27.09,CCCCCCC1=CC=CC=N1
2-methyl-2-heptanol,328,21.91,CCCCCC(C)(C)O
benzylamine,293,39.9,C1=CC=C(C=C1)CN
Paraldehyde,353,19.78,CC1OC(OC(O1)C)C
3-methyl-1-butanethiol,313,23.6,CC(C)CCS
propyl propylxanthate,338,28.48,CCCOC(=S)SCCC
tris(2-pentoxyethyl)phosphite,358,24.05,CCCCCOCCOP(OCCOCCCCC)OCCOCCCCC
4-heptanone oxime,363,21.87,CCCC(=NO)CCC
hexyl 3-methoxypropionate,293,28.76,CCCCCCOC(=O)CCOC
2-propanethiol,303,20.74,CC(C)S
ethyl dichloroacetate,313,30.26,CCOC(=O)C(Cl)Cl
isobutyric acid,323,22.28,CC(C)C(=O)O
propyl pyrotartate,293,29.55,CCCOC(=O)CC(C)C(=O)O
butyl 1-naphthaleneacetate,333,33.99,CCCCOC(=O)CC1=CC=CC2=CC=CC=C21
phenol,323,38.2,C1=CC=C(C=C1)O
ethyl 9-decynoate,293,31.97,CCOC(=O)CCCCCCCC#C
DL-1-Phenyl-2-butanol,313,32.15,CCC(CC1=CC=CC=C1)O
isopentyl propionate,353,19.68,CCC(=O)OCCC(C)C
Ethyl 2-cyano-3-methylhexanoate,373,23.15,CCCC(C)C(C#N)C(=O)OCC
ethylcyclohexane,313,23.56,CCC1CCCCC1
heptyl thiophene-2-carboxylate,293,31.72,CCCCCCCOC(=O)C1=CC=CS1
4-propyl-4-heptanol,308,24.25,CCCC(CCC)(CCC)O
isobutyl butyrate,313,21.1,CCCC(=O)OCC(C)C
dipropyl adipate,303,30.84,CCCOC(=O)CCCCC(=O)OCCC
methyl ethylpropylmalonate,293,30.53,CCCOC(=O)C(C)C(=O)OCÊ
acetic acid,303,26.6,CC(=O)O
ethyl picolinate,333,35.4,CCOC(=O)C1=CC=CC=N1
3-methylheptane,303,20.34,CCCCC(C)CC
1-iodopentane,353,23.3,CCCCCI
benzonitrile,363,34.17,C1=CC=C(C=C1)C#N
methyl cyclobutane,343,24.83,CC1CCC1
4-methyl-1-pentanol,308,23.32,CC(C)CCCO
phenyl propyl sulfide,363,28.05,CCCSC1=CC=CC=C1
o-xylene,343,24.8,CC1=CC=CC=C1C
4-methylheptane,293,21.12,CCCC(C)CCC
propyl disulfide,293,30.53,CCCSSCCC
ethyl phenyl sulfide,313,34.78,CCSC1=CC=CC=C1
"2,2,3-trimethylpentane",343,16.2,CCC(C)C(C)(C)C
"N,N-dimethyl-o-nitroaniline",373,33.84,CN(C)C1=CC=CC=C1[N+](=O)[O-]
"3,11-diethyl-3,11-tridecanediol",338,29.63,CCC(CC)(CCCCCCCC(CC)(CC)O)O
propyl 1-naphthyl ketone,358,35.58,CCCC(=O)c1cccc2ccccc12
"ethyl 1,1-cyclobutanedicarboxylate",313,29.74,CCOC(=O)C1(CCC1)C(=O)OCC
heptyl picolinate,358,27.84,CCCCCCCOC(=O)C1=CC=CC=N1
heptane,363,13.29,CCCCCCC
3-ethylhexane,333,17.7,CCCC(CC)CC
o-anisaldehyde,353,36.5,COC1=CC=CC=C1C=O
Ethylbenzene,343,23.82,CCC1=CC=CC=C1
1-butene,253,17.84,CCC=C
methyl mesaconate,303,34.08,COC(=O)C=C(/C)C(=O)O
1-bromohexadecane,293,31.65,CCCCCCCCCCCCCCCCBr
triisopropyl orthophosphate,313,26.39,CC(C)OP(=O)(OC(C)C)OC(C)C
guaiacol,353,33.7,COC1=CC=CC=C1O
3-(propylamino)-propionitrile,323,28.72,CCCNCCC#N
alpha-campholenic acid,433,23.06,CC1=CCC(C1(C)C)CC(=O)O
"2,5-dimethylhexane",303,18.94,CC(C)CCC(C)C
biphenyl,373,32.21,C1=CC=C(C=C1)C2=CC=CC=C2
pentyl crotonate,333,24.47,CCCCCOC(=O)/C=C/C
"2,10-dichloro-2,10-dimethylundecane",318,28.54,CC(C)(CCCCCCCC(C)(C)Cl)Cl
methyl undecenoate,333,26.19,COC(=O)CCCCCCCCC=C
"2,10-dichloro-2,10-dimethylundecane",298,30.33,CC(C)(CCCCCCCC(C)(C)Cl)Cl
diethyl O-nonanoyl-l-malate,363,24.12,CCCCCCCCCC(=O)OC(C(=O)OCC)C(O)C(=O)OCC
1-Dodecyne,313,25.36,CCCCCCCCCCC#C
"d-p-mentha-1,8-diene",393,18.35,CC1=CCC(CC1)C(=C)C
p-nitrophenol,413,44.31,C1=CC(=CC=C1[N+](=O)[O-])O
2-butanone O-ethyloxime,293,23.75,CCC(=NOCC)C
diethyl maleate,343,27.4,CCOC(=O)C=CC(=O)OCC
triisobutylamine,323,20.44,CC(C)CN(CC(C)C)CC(C)C
fluoronitromethane,288,25.76,C([N+](=O)[O-])F
3-(diethylamino)-propionitrile,353,24.47,CCN(CC)CCC#N
1-chlorohexane,313,24.17,CCCCCCCl
isopentyl disulfide,323,26.01,CC(C)CCSSCCC(C)C
3-dodecanol,323,26.06,CCCCCCCCCC(CC)O
1-bromotetradecane,343,26.78,CCCCCCCCCCCCCCBr
heptyl nicotinate,358,27.77,CCCCCCCOC(=O)C1=CN=CC=C1
propyl thiocyanate,373,24.41,CCCSC#N
pentylbenzene,283,30.38,CCCCCC1=CC=CC=C1
"N-methyl-2,2-iminodiethanol",348,36.3,CN(CCO)CCO
6-undecanone,323,24.72,CCCCCC(=O)CCCCC
m-dinitrobenzene,453,33.96,C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-]
p-methoxyphenol,333,39.9,COC1=CC=C(C=C1)O
"3,3-dimethylpentane",283,20.59,CCC(C)(C)CC
Mesitylene,353,22.62,CC1=CC(=CC(=C1)C)C
benzoyl bromide,333,37.47,C1=CC=C(C=C1)C(=O)Br
"ethyl 1,1-cyclopropanedicarboxylate",313,30.44,CCOC(=O)C1(CC1)C(=O)OCC
aniline,343,37.24,C1=CC=C(C=C1)N
3-dodecanol,353,23.75,CCCCCCCCCC(CC)O
dimethyl maleate,293,38.29,COC(=O)C=CC(=O)OC
Ethyl disulfide,288,31.43,CCSSCC
trifluoroacetic acid,301,13.28,C(=O)(C(F)(F)F)O
m-toluidine,303,37.39,CC1=CC(=CC=C1)N
Methyl formate,343,17.29,COC=O
isopentylamine,333,19.8,CC(C)CCN
dibutyl carbonate,353,21.55,CCCCOC(=O)OCCCC
3-hexanone O-ethyloxime,363,17.41,CCCC(=NOCC)CC
ethyl isothiocyanate,303,34.71,CCN=C=S
methylcyclopentadecane,373,25.31,CC1CCCCCCCCCCCCCC1
Isobutyl Cyanoacetate,423,20.65,CC(C)COC(=O)CC#N
diethyl maleate,303,31.55,CCOC(=O)C=CC(=O)OCC
pentanol,313,24.04,CCCCCO
levo-4-Phenyl-2-butanol,353,30.1,CC(CCC1=CC=CC=C1)O
methyl sulfoxide,308,41.73,CS(=O)C
p-chlorotoluene,283,33.85,CC1=CC=C(C=C1)Cl
ethyl 2-naphthoate,293,41.64,CCOC(=O)C1=CC2=CC=CC=C2C=C1
o-chloranisole,373,29.8,COC1=CC=CC=C1Cl
allyl propionate,323,23,CCC(=O)OCC=C
propyl sulfite,288,29.16,CCCOS(=O)OCCC
1-pentyl formate,283,27.07,CCCCCOC=O
Ethyl disulfide,333,26.76,CCSSCC
Benzene,303,27.56,C1=CC=CC=C1
"4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2-butanol",303,30.81,CC1=C(C(CCC1)(C)C)CCC(C)O
propyl 3-butenoate,303,25.25,CCCOC(=O)CC=C
dipropyl sebacate,283,33.32,CCCOC(=O)CCCCCCCCC(=O)OCCC
2-pentanone O-ethyloxime,298,23.08,CCCC(=NOCC)C
"2,4,5-trichlorophenol",413,29.5,C1=C(C(=CC(=C1Cl)Cl)Cl)O
isobutyl disulfide,363,21.85,CC(C)CSSCC(C)C
hexyl 3-ethoxypropionate,358,22.32,CCCCCCOC(=O)CCOCC
p-toluenesulfonyl chloride,373,33.38,CC1=CC=C(C=C1)S(=O)(=O)Cl
o-chloroaniline,293,41.6,C1=CC=C(C(=C1)N)Cl
triphenylphosphine,423,31.5,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3
diisopropyl oxalate,363,21.35,CC(C)OC(=O)C(=O)OC(C)C
nicotine,263,42.19,CN1CCCC1C2=CN=CC=C2
"N,N-dimethyl-m-nitroaniline",413,31.1,CN(C)C1=CC(=CC=C1)[N+](=O)[O-]
"1,7-dichloroheptane",333,31.67,C(CCCCl)CCCCl
3-methyl-1-butanol,283,24.94,CC(C)CCO
pentyl 3-methoxypropionate,293,28.59,CCCCCOC(=O)CCOC
ethyl acetoacetate,353,26.3,CCOC(=O)CC(=O)C
"N,N-diethylbenzylamine",288,30.26,CCN(CC)CC1=CC=CC=C1
1-chloro-3-methylbutane,333,19.03,CC(C)CCCl
"3-methyl-4-(2,2,6-trimethylcyclohexyl)-2-butanol",303,30.07,CC1CCCC(C)(C)C1CC(C)C(C)O
pentyl 3-ethoxypropionate,293,27.23,CCCCCOC(=O)CCOCC
dipentyl acetylenedicarboxylate,293,31.42,CCCCCOC(=O)C#CC(=O)OCCCCC
isobutyl butyrate,333,19.41,CCCC(=O)OCC(C)C
hexyl picolinate,358,28.29,CCCCCCOC(=O)C1=CC=CC=N1
"N,N-diethylaniline",313,32.43,CCN(CC)C1=CC=CC=C1
m-dichlorobenzene,403,23.39,C1=CC(=CC(=C1)Cl)Cl
acrylonitrile,288,27.81,C=CC#N
iodoethane,283,30.38,CCI
p-chlorophenol,313,41.8,C1=CC(=CC=C1O)Cl
ethyl sulfite,293,29.58,CCOS(=O)OCC
1-fluoroheptane,293,22.82,CCCCCCCF
methyl 2-naphthaleneacetate,313,41.45,Cc1ccc2ccccc2c1CC(=O)OC
"dipropyl-1,1-cyclopropanecarboxylic acid",333,26.99,CCCC1C(C1C(=O)OCC)CCC
heptamethylene nitrate,318,37.7,C1CCCC(CC1)O[N+](=O)[O-]
pentyl Cyanoacetate,323,27.76,CCCCCOC(=O)CC#N
butyl butoxyacetate,313,25.48,CCCCOCC(=O)OCCCC
isopentylamine,353,17.79,CC(C)CCN
1-octanethiol,363,22.06,CCCCCCCCS
1-methylcyclopentanol,303,28.76,CC1(CCCC1)O
1-butoxy-1-ethoxyethane,293,23.26,CCCCOC(C)OCC
butyl bromoacetate,313,29.89,CCCCOC(=O)CBr
o-ethyltoluene,353,23.85,CCC1=CC=CC=C1C
isovaleraldehyde oxime,353,21.39,CC(C)CC=NO
"1,5-diphenylpentanetrione",393,33.16,O=C(CC(=O)C1=CC=CC=C1)CC(=O)C1=CC=CC=C1
trans-hexahydro-2-methyleneindan,343,24.26,C=C1CC2CCCC2C1
heptane,323,17.2,CCCCCCC
propylene nitrate,288,46.4,CC(CO[N+](=O)[O-])O[N+](=O)[O-]
Triphenylmethanol,493,22.24,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)O
isovaleronitrile,293,25.93,CC(C)CC#N
dipropoxymethane,333,19.45,CCCOCOCCC
"1,1-dimethylcyclopentane",333,17.68,CC1(CCCC1)C
fluorobenzene,303,26.06,C1=CC=C(C=C1)F
2-butoxyethanol,343,22.47,CCCCOCCO
triisopentylamine,303,23.52,CC(C)CCN(CCC(C)C)CCC(C)C
4-methyl-1-pentanol,328,21.84,CC(C)CCCO
propyl sulfide,313,24.22,CCCSCCC
butyl phenyl sulfide,363,27.67,CCCCSC1=CC=CC=C1
trans-octahydro-2(III)-nathalenone,313,34.25,C1CCC2CC(=O)CCC2C1
2-octanol,333,25.11,CCCCCCC(C)O
isopropyl disulfide,303,27.42,CC(C)SSC(C)C
1-iodobutane,343,23.6,CCCCI
"1,1,2,2-tetrabromoethane",308,47.25,C(C(Br)Br)(Br)Br
methyl 1-naphthaleneacetate,313,43,COC(=O)CC1=CC=CC2=CC=CC=C21
methyl 3-pentyloxypropionate,313,26.59,CCCCCOCCC(=O)OC
"2-propyn-1-ol, formate",293,35,C#CCOC=O
isopentyl crotonate,323,24.44,C/C=C/C(=O)OCCC(C)C
3-methylcyclopentanol,373,22.64,CC1CCC(C1)O
tris(2-butoxyethyl)phosphite,358,24.08,CCCCOCCOP(OCCOCCCC)OCCOCCCC
1-pentyl phenyl sulfide,293,34.16,CCCCCSC1=CC=CC=C1
"methyl 3-methyl-1,1-cyclohexanediacetate",318,31.26,CC1CCC(CC(=O)OC)C(C(=O)OC)C1
perfluoro-2-methylpentane,323,9.81,C(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F
4-phenyl-3-buten-2-one,383,34.55,CC(=O)C=CC1=CC=CC=C1
"trans-1,2-dimethylcyclohexane",303,23.1,CC1CCCCC1C
"diethyl-1,1-cyclopropanecarboxylic acid",303,30.69,O=C(OCC)C1(C(OCC)=O)CC1
butyl benzoate,343,28.86,CCCCOC(=O)C1=CC=CC=C1
6-nitro-o-toluidine,433,34.37,CC1=C(C(=CC=C1)[N+](=O)[O-])N
propyl 3-butenoate,343,21.31,CCCOC(=O)CC=C
2-phenyl-2-butene,293,33.61,CC=C(C)C1=CC=CC=C1
3-ethylhexane,373,13.78,CCCC(CC)CC
"1,1,2,2-tetrachloroethane",358,27.97,C(C(Cl)Cl)(Cl)Cl
ethyl myristate,318,27.24,CCCCCCCCCCCCCC(=O)OCC
hexyl nicotinate,358,28.01,CCCCCCOC(=O)C1=CN=CC=C1
isobutylbenzene,293,27.47,CC(C)CC1=CC=CC=C1
2-methylhexane,283,20.26,CCCCC(C)C
pentyl butoxyacetate,333,24.12,CCCCCOC(=O)COCCCC
methyl p-toluenesulfonate,353,37.59,CC1=CC=C(C=C1)S(=O)(=O)OC
di(2-ethylhexyl) phthalate,293,31.2,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC
tert-butyl acetate,283,23.59,CC(=O)OC(C)(C)C
1-pentyl formate,333,21.95,CCCCCOC=O
dichloroacetic acid,343,31.3,C(C(=O)O)(Cl)Cl
butyl ethyl sulfide,293,26.47,CCCCSCC
2-methl-2-butanol,303,21.94,CCC(C)(C)O
succinonitrile,363,43.55,C(CC#N)C#N
1-bromoheptane,283,29.76,CCCCCCCBr
2-ethoxythiophene,293,33.74,CCOC1=CC=CS1
trifluoroacetic acid,297,13.63,C(=O)(C(F)(F)F)O
"1,5-dichloropentane",333,31.14,C(CCCl)CCCl
methyl acetoacetate,373,25.54,CC(=O)CC(=O)OC
"1,5-hexadiene",323,15.79,C=CCCC=C
2-chloro-2-methylhexane,308,22.68,CCCCC(C)(C)Cl
glycerol tristearate,373,25.88,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
hexyl sulfide,303,27.57,CCCCCCSCCCCCC
tripentylamine,293,26.24,CCCCCN(CCCCC)CCCCC
methyl phenylacetate,313,35.79,COC(=O)CC1=CC=CC=C1
Toluene,333,23.77,CC1=CC=CC=C1
ethyl butoxyacetate,358,21.42,CCCCOCC(=O)OCC
Ethyl ethylcarbamate,353,29.57,CCNC(=O)OCC
"1,6-dibromohexane",293,40.33,C(CCCBr)CCBr
butyl methyl sulfide,323,23.11,CCCCSC
m-diethylbenzene,313,27.08,CCC1=CC(=CC=C1)CC
p-chlorophenol,353,37.6,C1=CC(=CC=C1O)Cl
propyl 3-heptyloxypropionate,293,27.87,CCCCCCCOCCC(=O)OCCC
"1,1-diethoxyethane",303,20.37,CCOC(C)OCC
3-ethylhexane,293,21.62,CCCC(CC)CC
perfluorononane,318,14.4,C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
butylamine,293,24.56,CCCCN
ethyl allylmalonate,363,22.64,CCOC(=O)C(CC=C)C(=O)OCC
pentyl phenyl ether,288,32.19,CCCCCOC1=CC=CC=C1
diethyl bromo-malonate,323,30.86,CCOC(=O)C(C(=O)OCC)Br
1-bromoheptane,373,20.92,CCCCCCCBr
methyl 3-butenoate,313,24.99,COC(=O)CC=C
methyl 3-methoxypropionate,313,28.4,COCCC(=O)OC
4-chloro-4-propylheptane,318,24.06,CCCC(CCC)(CCC)Cl
heptenal oxime,323,25.78,CCCCCCC=NO
propyl cyclopropane,313,26.78,CCCC1CC1
dimethyl pimelate,293,35.57,COC(=O)CCCCCC(=O)OC
3-hexanone O-ethyloxime,288,24.74,CCCC(=NOCC)CC
methyl chloroacetate,353,27.47,COC(=O)CCl
diisobutyl carbonate,353,19.75,CC(C)COC(=O)OCC(C)C
"3,4-xylenol",358,28.01,CC1=C(C=C(C=C1)O)C
methyl citraconate,343,30.31,COC(=O)/C=C(/C)C(=O)OCÊ
2-nonanone,358,21.23,CCCCCCCC(=O)C
diethyl O-hexanoyl-l-malate,373,22.65,CCOC(=O)CC(O)C(OC(=O)CCCCCC)C(=O)OCC
1-chlorobutane,313,21.5,CCCCCl
Methyl disulfide,313,31.38,CSSC
1-phenyl-2-butanone,293,37.94,CCC(=O)CC1=CC=CC=C1
2(10)-pinene,413,16.47,CC1(C2CCC(=C)C1C2)C
Propyl Acetate,343,18.76,CCCOC(=O)C
heptenal oxime,313,26.52,CCCCCCC=NO
Tetrahydrofurfuryl alcohol,343,32.9,C1CC(OC1)CO
1-bromo-4-fluoro-benzene,363,27.43,C1=CC(=CC=C1F)Br
ethyl 2-bromopropionate,313,28.23,CCOC(=O)C(C)Br
ethyl octanoate,363,20.64,CCCCCCCC(=O)OCC
butyl sulfite,343,24.32,CCCCOS(=O)OCCCC
1-methyl-4-methylenecyclohexane,363,17.82,CC1CCC(=C)CC1
3-methylhexane,253,23.67,CCCC(C)CC
3-(butylamino)-propionitrile,293,30.8,CCCCNCCC#N
propyl decanoate,373,21.28,CCCCCCCCCC(=O)OCCC
trihexyl phosphite,293,27.54,CCCCCCOP(OCCCCCC)OCCCCCC
2-methylbutane,298,14.44,CCC(C)C
decanenitrile,363,21.93,CCCCCCCCCC#N
"1,4-dichlorobutane",333,30.73,C(CCCl)CCl
"1,2,3-trimethylbenzene",363,21.55,CC1=C(C(=CC=C1)C)C
pyrrolidine,333,25.18,C1CCNC1
"1,5-dichloropentane",313,33.44,C(CCCl)CCCl
methylenecyclopentane,313,22.23,C=C1CCCC1
3-methylcyclopentanone,283,30.69,CC1CCC(=O)C1
nonane,293,22.85,CCCCCCCCC
methyl cinnamate,333,35.58,COC(=O)C=CC1=CC=CC=C1
diethyl bromo-malonate,353,28.64,CCOC(=O)C(C(=O)OCC)Br
ethyl fumarate,343,26.51,CCOC(=O)C=CC(=O)O
2-phenylacetamide,453,32.08,C1=CC=C(C=C1)CC(=O)N
isopentyl sulfide,393,17.74,CC(C)CCSCCC(C)C
diethoxymethane,303,20,CCOCOCC
2-methyl-1-pentanol,388,17.56,CCCC(C)CO
butyl orthophosphate,358,23.05,O=P(OCCCC)(OCCCC)OCCCCÊ
methyl levulinate,323,29.31,CC(=O)CCC(=O)OC
1-hexadecene,323,25.16,CCCCCCCCCCCCCCC=C
ethyl 2-bromopropionate,303,29.29,CCOC(=O)C(C)Br
1-methyl-4-methylenecyclohexane,323,21.76,CC1CCC(=C)CC1
"2,4,5-trichlorophenol",443,25.83,C1=C(C(=CC(=C1Cl)Cl)Cl)O
1-dodecene,333,22.03,CCCCCCCCCCC=C
2-methyl-1-butene,283,17.66,CCC(=C)C
ethyl mesaconate,313,29.5,CC(=O)OC=C(C)C(=O)O
cyclohexanone,303,33.61,C1CCC(=O)CC1
1-bromo-3-methylbutane,343,21.13,CC(C)CCBr
Paraldehyde,363,18.72,CC1OC(OC(O1)C)C
butyl allylmalonate,353,23.69,CCCC(=O)C(CC=C)C(=O)OCC
2-nitropropane ,313,27.54,CC(C)[N+](=O)[O-]
1-nonadecene,343,24.6,CCCCCCCCCCCCCCCCCC=C
butyl dodecanoate,283,30.02,CCCCCCCCCCCC(=O)OCCCC
dipentyloxymethane,353,20.37,CCCCCOCOCCCCC
2-ethoxythiophene,333,29.64,CCOC1=CC=CS1
ethyl benzoate,313,32.92,CCOC(=O)C1=CC=CC=C1
butyl iodoacetate,333,29.28,CCCCOC(=O)CI
dimethyl succinate,293,36.62,COC(=O)CCC(=O)OC
"5,6,7,8-tetrahydro-2-naphthol",338,38.9,C1CCC2=C(C1)C=CC(=C2)O
"2,4-dimethylpentane",298,17.66,CC(C)CC(C)C
"p-menttha-6,8-dien-2-one",393,25.5,CC1=CCC(CC1=O)C(=C)C
"3,11-dichloro-3,11-diethyltridecane",328,29.99,CCC(CC)(CCCCCCCC(CC)(CC)Cl)Cl
"2,6-dimethyl-pyridine",313,29.27,CC1=NC(=CC=C1)C
propyl 2-naphthaleneacetate,293,38.81,CCCCOC(=O)Cc1cccc2ccccc12
2-nitro-p-toluidine,393,36.42,CC1=CC(=C(C=C1)N)[N+](=O)[O-]
2-ethoxyethanol,323,26.1,CCOCCO
perchlorocyclopentadiene,293,37.5,C1(=C(C(C(=C1Cl)Cl)(Cl)Cl)Cl)Cl
cyclopentanone,343,27.85,C1CCC(=O)C1
phenyl isothiocyanate,323,37.3,C1=CC=C(C=C1)N=C=S
isonicotinaldehyde,333,43.47,C1=CN=CC=C1C=O
N-methyl-N-nitrosoaniline,293,45.12,CN(C1=CC=CC=C1)N=O
tridecane,283,26.86,CCCCCCCCCCCCC
"4,4'-azoxydiphenetole ",442.8,28.8,CCOC1=CC=C(C=C1)N=[N+](C2=CC=C(C=C2)OCC)[O-]
"ethyl trans-hexahydro-2,2-indandiacetate",298,33.44,CCOC(=O)C1C2CCCC1C2(CC(=O)O)
ethyl alpha-campholanate,333,24.39,CCOC(=O)CC1CCC(C1(C)C)C
"4,7-dichloro-4,7-dipropyldecane",308,28.96,CCCC(CCC)(CCC(CCC)(CCC)Cl)Cl
carbon tetrachloride,348,20.2,C(Cl)(Cl)(Cl)Cl
dipropyl ether,288,21.03,CCCOCCC
"4-(2,2,6-trimethylcyclohexyl)-2-butanol",343,26.98,CC1CCCC(C1CCC(C)O)(C)C
ethyl hydrocinnamate,303,33.19,CCOC(=O)CCC1=CC=CC=C1
tetradecane,393,17.27,CCCCCCCCCCCCCC
3-propoxypropionitrile,363,24.67,CCCOCCC#N
dibutyl pentylmalonate,363,22.6,CCCCCC(C(=O)OCCCC)C(=O)OCCCC
diethyl ether,298,16.65,CCOCC
tetradecane,333,23.09,CCCCCCCCCCCCCC
pentyl crotonate,293,28.27,CCCCCOC(=O)/C=C/C
methyl 3-hexyloxypropionate,293,28.54,CCCCCCOCCC(=O)OC
2-methyl-1-propanethiol,293,24.01,CC(C)CS
dibutyl acetylenedicarboxylate,333,28.12,CCCCOC(=O)C#CC(=O)OCCCC
propyl fumarate,288,31.49,CCCOC(=O)C=CC(=O)O
dibutyl methylmalonate,333,25.18,CCCCOC(=O)C(C)C(=O)OCCCC
5-chloro-5-propyldecane,273,29.26,CCCCCC(CCC)(CCCC)Cl
dimethyl malonate,333,32.47,COC(=O)CC(=O)OC
methyl thiocyanate,293,38.05,CSC#N
methyl mesaconate,363,26.99,COC(=O)C=C(/C)C(=O)O
propyl chloroacetate,283,31.83,CCCOC(=O)CCl
propyl phenylacetate,313,32.27,CCCOC(=O)CC1=CC=CC=C1
Lactonitrile,293,36.39,CC(C#N)O
"ethyl 1,1,2,2-cyclopropanetetracarboxylate",373,26.81,CCOC(=O)C1(CC1(C(=O)OCC)C(=O)OCC)C(=O)OCC
ethyl trichloroacetate,343,25.46,CCOC(=O)C(Cl)(Cl)Cl
glycerol trioleate,293,34.63,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC
1-iodoheptane,313,28.63,CCCCCCCI
3-butenoic acid,313,26.84,C=CCC(=O)O
2-propanethiol,323,18.39,CC(C)S
isopentyl disulfide,333,25.19,CC(C)CCSSCCC(C)C
4-nonanone,303,25.8,CCCCCC(=O)CCC
1-nitrobutane,283,30.8,CCCC[N+](=O)[O-]
propyl dodecanoate,283,29.65,CCCCCCCCCCCC(=O)OCCC
"2-propoxy-4-methyl-1,2,3-dioxaphospholane",293,28.06,CCOP1OCC(O1)C
dipentylamine,303,25.26,CCCCCNCCCCC
ethyl isobutyrate,333,19.05,CCOC(=O)C(C)C
pentylbenzene,313,27.59,CCCCCC1=CC=CC=C1
tert-butylcyclohexane,313,24.74,CC(C)(C)C1CCCCC1
4-methylcyclohexanol,313,26.31,CC1CCC(CC1)O
alpha-chlorotoluene,383,26.42,C1=CC=C(C=C1)CCl
l-pinene,333,22.65,CC1=CC[C@H]2C[C@@H]1C2(C)CÊ
N-ethylacetanilide,373,29.72,CCN(C1=CC=CC=C1)C(=O)C
4-hydroxy-3-methoxybenzaldehyde,383,37.39,COC1=C(C=CC(=C1)C=O)O
"1,2,3,4-tetrahydronaphthalene",313,31.73,C1CCC2=CC=CC=C2C1
butyl chloroacetate,353,24.31,CCCCOC(=O)CCl
"2-hexoxy-4-methyl-1,2,3-dioxaphospholane",333,25.26,CCCCCCOP1C(C)COO1
5-butyl-5-decanol,328,24.16,CCCCCC(CCCC)(CCCC)O
butylcyclohexane,303,26.03,CCCCC1CCCCC1
"Bis(1H,1H-heptafluorobutyl) adipate",298.8,20.4,C(CCC(=O)OCC(C(C(F)(F)F)(F)F)(F)F)CC(=O)OCC(C(C(F)(F)F)(F)F)(F)F
Dimethyl Ether,248,18.67,COC
pyridazine,373,40.19,C1=CC=NN=C1
1-butylnaphthalene,293,35.69,CCCCC1=CC=CC2=CC=CC=C21
hexadecane,353,22.35,CCCCCCCCCCCCCCCC
p-phenylazophenol,463,32.6,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)O
pentyl picolinate,358,29.03,CCCCCOC(=O)C1=CC=CC=N1
ethylcyclohexane,293,25.67,CCC1CCCCC1
pyrrolidine,313,27.88,C1CCNC1
ethyl 3-propoxypropionate,293,27.33,CCCOCCC(=O)OCC
propyl isobutyrate,363,16.69,CCCOC(=O)C(C)C
1-chloropentane,333,26.63,CCCCCCl
4-nonanone,308,25.32,CCCCCC(=O)CCC
methyl pentadecanoate,318,27.75,CCCCCCCCCCCCCCC(=O)OC
dipropyl suberate,283,32.78,CCCOC(=O)CCCCCCC(=O)OCCC
2-methylpropene,283,11.57,CC(=C)C
hexyl acetate,343,21.65,CCCCCCOC(=O)C
epichlorohydrin,303,35.68,C1C(O1)CCl
