name,TempK,Sigma,SMILES
isobutyl butyrate,283,23.63,CCCC(=O)OCC(C)C
1-pentyl acetate,313,23.68,CCCCCOC(=O)C
p-chloroaniline,433,31.11,C1=CC(=CC=C1N)Cl
alpha-bromotoluene,363,23,C1=CC=C(C=C1)CBr
ethyl 2-acetovalerate,313,28,CCCC(C)(CC)C(=O)O
ethyl phenylacetate,303,34.26,CCOC(=O)CC1=CC=CC=C1
"1,2,3-trimethylbenzene",303,27.79,CC1=C(C(=CC=C1)C)C
benzoyl bromide,413,25.29,C1=CC=C(C=C1)C(=O)Br
isobutyl valerate,283,24.24,CCCCC(=O)OCC(C)C
p-cresol,393,27.47,CC1=CC=C(C=C1)O
diethyl O-decanoyl-l-malate,313,28.27,CCCCCCCCCC(=O)OCC(=O)OCC
trichloronitromethane,263,36.32,C([N+](=O)[O-])(Cl)(Cl)Cl
acetic acid,323,24.61,CC(=O)O
butyl valerate,283,27.22,CCCCC(=O)OCCCC
ethyl dodecanoate,333,24.87,CCCCCCCCCCCC(=O)OCC
cyclo-octanone,373,28.01,C1CCCC(=O)CCC1
1-bromotetradecane,303,30.3,CCCCCCCCCCCCCCBr
propyl 3-butynoate,363,22.21,C#CCC(=O)OCCC
Methyl stearate,353,26,CCCCCCCCCCCCCCCCCC(=O)OC
levo-1-Phenyl-2-butanol,343,29.28,CCC(CC1=CC=CC=C1)O
2-pentanone O-ethyloxime,313,21.63,CCCC(=NOCC)C
3-methoxypropionitrile,303,34.69,COCCC#N
2-iodopropane,313,24.92,CC(C)I
ethyl pyrotartate,353,23.94,COC(=O)CC(C)C(=O)OCC
3-pentyloxypropionitrile,303,29.51,CCCCCOCCC#N
1-hexylnaphthalene,358,28.96,CCCCCCC1=CC=CC2=CC=CC=C21
dipropyl butylphosphonate,293,28.02,CCCCP(=O)(OCCC)OCCC
diisobutyl maleate,313,27.08,CC(C)COC(=O)C=CC(=O)OCC(C)C
isobutyl acetate,373,15.46,CC(C)COC(=O)C
"4,4-azoxydianisole",423,35.86,COC1=CC=C(C=C1)N=[N+](C2=CC=C(C=C2)OC)[O-]
heptanoic,333,24.79,CCCCCCC(=O)O
trichloronitromethane,293,32.34,C([N+](=O)[O-])(Cl)(Cl)Cl
butyl dichloroacetate,333,26.5,CCCCOC(=O)C(Cl)Cl
"4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-2-butanol",333,27.6,CC1=CCCC(C1CCC(C)O)(C)C
dihexyl ether,313,24.07,CCCCCCOCCCCCC
dibutyl suberate,323,28.98,CCCCOC(=O)CCCCCCC(=O)OCCCC
1-nonanol,353,23.72,CCCCCCCCCO
m-tolunitrile,313,34.8,CC1=CC(=CC=C1)C#N
triisopropyl orthophosphate,323,25.61,CC(C)OP(=O)(OC(C)C)OC(C)C
ethyl octanoate,343,22.58,CCCCCCCC(=O)OCC
"o-hydroxy-1,1-diphenylbutane",313,36.27,CCCC(C1=CC=CC=C1)C2=CC=CC=C2O
Propyl Sulfate,343,27.43,CCCOS(=O)(=O)[O-]
ethyl isobutyrate,353,16.96,CCOC(=O)C(C)C
3-pentanone O-ethyloxime,288,24.28,CCC(=NOCC)CC
trans-hexahydro-2-indanone,333,31.32,C1CCC2CC(=O)CC2C1
1-iodoheptane,373,23.31,CCCCCCCI
Mesitylene,323,25.3,CC1=CC(=CC(=C1)C)C
diisobutyl maleate,303,27.94,CC(C)COC(=O)C=CC(=O)OCC(C)C
dipentyl maleate,313,29.09,CCCCCOC(=O)C=CC(=O)OCCCCC
methyl 3-methoxypropionate,293,30.83,COCCC(=O)OC
benzenethiol,288,39.61,C1=CC=C(C=C1)S
1-chlorobutane,303,22.62,CCCCCl
azelaonitrile,313,40.78,C(CCCC#N)CCCC#N
Propyl Sulfate,293,32.03,CCCOS(=O)(=O)[O-]
3-pentyloxypropionitrile,298,29.93,CCCCCOCCC#N
"2,2,4-trimethylhexane",303,19.67,CCC(C)CC(C)(C)C
methyl carbamate,423,27.74,COC(=O)N
1-decanol,283,29.61,CCCCCCCCCCO
1-propylnaphthalene,333,32.99,CCCC1=CC=CC2=CC=CC=C21
propyl disulfide,333,26.54,CCCSSCCC
"1,1,2-trichloroethane",308,32.67,C(C(Cl)Cl)Cl
diethyl O-valeryl-l-malate,363,23.92,CCOC(=O)CC(O)C(=O)OCCC
N-nitrosodimethylamine,313,31.03,CN(C)N=O
isobutyl butyrate,353,17.63,CCCC(=O)OCC(C)C
3-hexanone,318,22.88,CCCC(=O)CC
"1,1,3-trimethylcyclohexane",303,22.58,CC1CCCC(C1)(C)C
ethyl pentyl carbonate,298,26.56,CCCCCOC(=O)OCC
4-nonanone,323,23.88,CCCCCC(=O)CCC
dimethyl ethylmalonate,293,32.38,CCC(C(=O)OC)C(=O)OC
"2,2-dimethylhexane",333,16.08,CCCCC(C)(C)C
"2-Butyne-1,4-diol, diacetate",313,38.2,CC(=O)OCC#CCOC(=O)C
propyl sulfite,323,25.91,CCCOS(=O)OCCC
1-methylcyclohexene,373,17.74,CC1=CCCCC1
2-methyl-2-pentanol,368,16.89,CCCC(C)(C)O
3-pentanone,308,23.7,CCC(=O)CC
alpha-campholanic acid,393,24.34,CC1CCC(C1(C)C)CC(=O)O
"alpha,alpha-dichlorotoluene",413,26.77,C1=CC=C(C=C1)C(Cl)Cl
2-tertbutylnaphthalene,313,32.5,CC(C)(C)C1=CC2=CC=CC=C2C=C1
cyclopentanol,323,29.98,C1CCC(C1)O
isobutyl formate,333,19.41,CC(C)COC=O
triethyl orthophosphate,293,29.95,CCOP(=O)(OCC)OCC
dipropyl suberate,343,27.33,CCCOC(=O)CCCCCCC(=O)OCCC
ethyl 3-ethoxypropionate,313,25.89,CCOCCC(=O)OCC
"4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2-butanol acetate",303,28.8,CC1=C(C(CCC1)(C)C)CCC(C)OC(=O)C
"2,2,3-trimethylpentane",363,11.95,CCC(C)C(C)(C)C
2-hydroxyacetophenone,443,24.46,C1=CC=C(C=C1)C(=O)CO
propyl mesaconate,343,26.17,CCCC(=O)C=C(C)C(=O)O
"2,7-dimethyloctane",343,18.02,CC(C)CCCCC(C)C
2(10)-pinene,393,18.27,CC1(C2CCC(=C)C1C2)C
isobutyl propionate,353,19.64,CCC(=O)OCC(C)C
tert-butyl alcohol,308,19.06,CC(C)(C)O
heptyl 3-hexyloxypropionate,293,28.41,CCCCCCOCCC(=O)OCCCCCCC
methyl sulfite,343,27.71,COS(=O)OC
ethyl propyl carbonate,293,26.6,CCCOC(=O)OCC
3-methylcyclopentanone,353,23.91,CC1CCC(=O)C1
diethyl (bromoethyl)-malonate,333,27.32,CCOC(=O)C(CCBr)C(=O)OCC
triethyl phosphite,333,20.46,CCOP(OCC)OCC
"2,3,4-trimethylhexane",313,20.94,CCC(C)C(C)C(C)C
decamethylene nitrate,308,37.3,C1CCCCC(CCCC1)O[N+](=O)[O-]
N-nitrosodihexylamine,363,24.25,CCCCCCN(CCCCCC)N=O
sec-butylbenzene,293,28.52,CCC(C)C1=CC=CC=C1
diisopropyl oxalate,353,22.36,CC(C)OC(=O)C(=O)OC(C)C
tripentyl phosphite,333,23.55,CCCCCOP(OCCCCC)OCCCCC
tert-butyl alcohol,338,16.36,CC(C)(C)O
"1,4-oxathiane",313,39.92,C1CSCCO1
"2,4-pentanedione",333,26.42,CC(=O)CC(=O)C
1-butylnaphthalene,358,29.9,CCCCC1=CC=CC2=CC=CC=C21
butyl phenyl sulfide,313,32.55,CCCCSC1=CC=CC=C1
"glycerol 1,2-diacetate 3-stearate",383,21.73,CC(=O)OCC(COC(=O)C)OC(=O)CCCCCCCCCCCCCC
